ABTestingExperimentation.md	product-growth-and-marketing	experimentation
ADRReviewWorkflow.md	product-and-project-management	decisions-rfcs-and-memos
AIAgentArchitecture.md	ai-and-agent-systems	agents-and-tool-use
AIChatContextManagement.md	ai-and-agent-systems	prompting-and-context
AIHallucinationTriage.md	ai-and-agent-systems	safety-and-guardrails
AIModelEvaluation.md	ai-and-agent-systems	evaluation-and-labeling
AIResponseCaching.md	ai-and-agent-systems	prompting-and-context
ALUDatapathDesign.md	specialized-and-systems-engineering	hardware-and-computer-architecture
APIBoundaryDesignConstraintMapping.md	backend-and-api-engineering	api-design-and-lifecycle
APIBoundaryDesignDataOwnership.md	backend-and-api-engineering	api-design-and-lifecycle
APIBoundaryDesignDependencyGraphs.md	backend-and-api-engineering	api-design-and-lifecycle
APIBoundaryDesignFailureBudgets.md	backend-and-api-engineering	api-design-and-lifecycle
APIBoundaryDesignInterfaceContracts.md	backend-and-api-engineering	api-design-and-lifecycle
APIBoundaryDesignMigrationSeams.md	backend-and-api-engineering	api-design-and-lifecycle
APIBoundaryDesignOperabilityHooks.md	backend-and-api-engineering	api-design-and-lifecycle
APIBoundaryDesignRolloutPhases.md	backend-and-api-engineering	api-design-and-lifecycle
APIBoundaryDesignScalingPaths.md	backend-and-api-engineering	api-design-and-lifecycle
APIBoundaryDesignTradeoffReviews.md	backend-and-api-engineering	api-design-and-lifecycle
APIChangeWatchBackoffPolicies.md	backend-and-api-engineering	integrations-and-webhooks
APIChangeWatchContractSnapshots.md	backend-and-api-engineering	integrations-and-webhooks
APIChangeWatchErrorTaxonomy.md	backend-and-api-engineering	integrations-and-webhooks
APIChangeWatchRequestReplay.md	backend-and-api-engineering	integrations-and-webhooks
APIChangeWatchRolloutWindows.md	backend-and-api-engineering	integrations-and-webhooks
APIChangeWatchSandboxParity.md	backend-and-api-engineering	integrations-and-webhooks
APIChangeWatchSignatureValidation.md	backend-and-api-engineering	integrations-and-webhooks
APIChangeWatchSupportEscalations.md	backend-and-api-engineering	integrations-and-webhooks
APIChangeWatchTokenRefresh.md	backend-and-api-engineering	integrations-and-webhooks
APIChangeWatchVersionDiffs.md	backend-and-api-engineering	integrations-and-webhooks
APIClientSDK.md	backend-and-api-engineering	api-design-and-lifecycle
APIContractTesting.md	testing-and-quality-assurance	test-strategy-and-harnesses
APIDesign.md	backend-and-api-engineering	api-design-and-lifecycle
APIDocumentation.md	content-and-communication	technical-documentation
APIErrorHandling.md	backend-and-api-engineering	api-design-and-lifecycle
APIGatewayDesign.md	backend-and-api-engineering	api-design-and-lifecycle
APIIdempotency.md	backend-and-api-engineering	api-design-and-lifecycle
APIIncidentTriageBackpressureSignals.md	backend-and-api-engineering	api-design-and-lifecycle
APIIncidentTriageCausalTracing.md	backend-and-api-engineering	api-design-and-lifecycle
APIIncidentTriageContractProofs.md	backend-and-api-engineering	api-design-and-lifecycle
APIIncidentTriageDependencyIsolation.md	backend-and-api-engineering	api-design-and-lifecycle
APIIncidentTriageFailureSequencing.md	backend-and-api-engineering	api-design-and-lifecycle
APIIncidentTriageIdempotencyRules.md	backend-and-api-engineering	api-design-and-lifecycle
APIIncidentTriageOperatorClarity.md	backend-and-api-engineering	api-design-and-lifecycle
APIIncidentTriageRecoveryScripts.md	backend-and-api-engineering	api-design-and-lifecycle
APIIncidentTriageRetryDiscipline.md	backend-and-api-engineering	api-design-and-lifecycle
APIIncidentTriageRolloutGuards.md	backend-and-api-engineering	api-design-and-lifecycle
APIMockingStrategy.md	backend-and-api-engineering	api-design-and-lifecycle
APIQuotaManagement.md	backend-and-api-engineering	api-design-and-lifecycle
APIRateLimiting.md	backend-and-api-engineering	api-design-and-lifecycle
APIRecipeWritingActionabilityChecks.md	content-and-communication	technical-documentation
APIRecipeWritingApprovalRouting.md	content-and-communication	technical-documentation
APIRecipeWritingExampleCoverage.md	content-and-communication	technical-documentation
APIRecipeWritingLinkIntegrity.md	content-and-communication	technical-documentation
APIRecipeWritingMaintenanceOwnership.md	content-and-communication	technical-documentation
APIRecipeWritingReaderTasks.md	content-and-communication	technical-documentation
APIRecipeWritingScreenshotStrategy.md	content-and-communication	technical-documentation
APIRecipeWritingSearchKeywords.md	content-and-communication	technical-documentation
APIRecipeWritingUpdateTriggers.md	content-and-communication	technical-documentation
APIRecipeWritingVersionStamps.md	content-and-communication	technical-documentation
APIReferenceDesignActionSummaries.md	content-and-communication	technical-documentation
APIReferenceDesignApprovalCriteria.md	content-and-communication	technical-documentation
APIReferenceDesignAudienceFraming.md	content-and-communication	technical-documentation
APIReferenceDesignCrossLinking.md	content-and-communication	technical-documentation
APIReferenceDesignDecisionRecords.md	content-and-communication	technical-documentation
APIReferenceDesignEvidenceDensity.md	content-and-communication	technical-documentation
APIReferenceDesignExampleQuality.md	content-and-communication	technical-documentation
APIReferenceDesignReviewWorkflow.md	content-and-communication	technical-documentation
APIReferenceDesignSearchability.md	content-and-communication	technical-documentation
APIReferenceDesignUpdateCadence.md	content-and-communication	technical-documentation
APISecurityOWASP.md	security-and-trust	attack-defense-and-hardening
APIVersioningDeprecation.md	backend-and-api-engineering	api-design-and-lifecycle
APIVersioningStrategy.md	backend-and-api-engineering	api-design-and-lifecycle
ARIAImplementation.md	frontend-and-user-experience	accessibility
AWSAutomationSafety.md	platform-and-cloud-infrastructure	cloud-and-kubernetes-operations
AWSCapacityForecasting.md	platform-and-cloud-infrastructure	capacity-and-cost-governance
AWSCostGovernance.md	platform-and-cloud-infrastructure	capacity-and-cost-governance
AWSDeploymentRollouts.md	platform-and-cloud-infrastructure	ci-cd-and-release-pipelines
